disease_id,name,specialty_id,med_id,severity
1,Influenza,SP001,41,1
2,Type 1 Diabetes,SP002,2,3
3,Hypertension,SP003,16,2
4,Asthma,SP004,9,1
5,Migraine,SP005,44,5
6,Rheumatoid Arthritis,SP006,6,5
7,Pneumonia,SP007,28,1
8,Breast Cancer,SP008,2,1
9,Hepatitis A,SP009,14,2
10,Tuberculosis,SP010,33,5
11,Iron Deficiency Anemia,SP011,2,5
12,Stroke,SP012,13,5
13,Chronic Bronchitis,SP013,27,2
14,Osteoporosis,SP014,29,5
15,Gastritis,SP015,18,1
16,Coronary Artery Disease,SP016,49,2
17,Epilepsy,SP017,45,4
18,Psoriasis,SP018,22,3
19,Ulcerative Colitis,SP019,10,2
20,Cataract,SP020,49,3
21,Lung Cancer,SP021,7,1
22,Hepatitis B,SP022,25,1
23,Malaria,SP023,23,3
24,Parkinson’s Disease,SP024,39,3
25,Hypothyroidism,SP025,3,4
26,Sickle Cell Anemia,SP026,35,1
27,Prostate Cancer,SP027,25,1
28,Eczema,SP028,36,3
29,Crohn’s Disease,SP029,41,5
30,Glaucoma,SP030,24,5
31,Chronic Kidney Disease,SP031,13,1
32,Leukemia,SP032,3,2
33,Hepatitis C,SP033,50,3
34,Dengue Fever,SP034,6,2
35,Alzheimer’s Disease,SP035,7,4
36,Hyperthyroidism,SP036,18,4
37,Thalassemia,SP037,41,3
38,Ovarian Cancer,SP038,11,3
39,Atopic Dermatitis,SP039,23,2
40,Diverticulitis,SP040,43,3
41,Retinal Detachment,SP041,45,1
42,Emphysema,SP042,39,2
43,Cirrhosis,SP043,35,2
44,Yellow Fever,SP044,11,4
45,Multiple Sclerosis,SP045,25,3
46,Graves’ Disease,SP046,41,5
47,Lymphoma,SP047,15,3
48,Pancreatic Cancer,SP048,50,1
49,Contact Dermatitis,SP049,15,1
50,Appendicitis,SP050,21,4
51,Macular Degeneration,SP051,18,1
52,Cystic Fibrosis,SP052,14,5
53,Fatty Liver,SP053,46,3
54,Chikungunya,SP054,14,4
55,Amyotrophic Lateral Sclerosis,SP055,26,4
56,Cushing’s Syndrome,SP056,10,3
57,Myeloma,SP057,9,2
58,Colon Cancer,SP058,48,5
59,Seborrheic Dermatitis,SP059,35,3
60,Gallstones,SP060,48,5
61,Strabismus,SP061,28,5
62,Bronchiectasis,SP062,26,3
63,Portal Hypertension,SP063,15,2
64,Zika Virus,SP064,33,4
65,Huntington’s Disease,SP065,6,1
66,Addison’s Disease,SP066,8,2
67,Sarcoma,SP067,41,2
68,Bladder Cancer,SP068,44,4
69,Rosacea,SP069,39,1
70,Pancreatitis,SP070,25,4
71,Amblyopia,SP071,39,4
72,Pulmonary Fibrosis,SP072,34,3
73,Hemochromatosis,SP073,36,1
74,Rabies,SP074,44,1
75,Spinal Muscular Atrophy,SP075,44,5
76,Acromegaly,SP076,49,3
